"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"50",6,"Tee Higgins",CIN,"WR14","44","58","49.5","4.2","-"
"51",6,"Baker Mayfield",TB,"QB21","30","62","49.5","9.2","-"
"52",6,"Tetairoa McMillan",CAR,"WR15","43","63","49.5","5.8","-"
"53",7,"Colston Loveland",CHI,"TE3","45","86","55.1","11.2","-"
"54",7,"DeVonta Smith",PHI,"WR16","43","79","55.4","10.9","-"
"55",7,"Garrett Wilson",NYJ,"WR17","47","73","56.1","7.0","-"
"56",7,"Davante Adams",LAR,"WR18","47","89","59.0","9.0","-"
"57",7,"Kyren Williams",LAR,"RB15","43","71","59.1","7.1","-"
"58",7,"Javonte Williams",DAL,"RB16","40","75","59.7","9.6","-"
"59",7,"Breece Hall",NYJ,"RB17","46","72","60.1","7.7","-"
"60",7,"Zay Flowers",BAL,"WR19","45","76","61.0","7.0","-"
"61",7,"C.J. Stroud",HOU,"QB22","47","87","61.7","6.6","-"
"62",7,"Travis Etienne Jr.",NO,"RB18","47","73","61.9","7.0","-"
"63",7,"Sam Darnold",SEA,"QB23","48","76","62.1","6.0","-"
"64",7,"Ladd McConkey",LAC,"WR20","47","82","62.2","8.4","-"
"65",7,"Luther Burden III",CHI,"WR21","52","74","62.9","6.1","-"
"66",7,"Jaylen Waddle",DEN,"WR22","46","79","64.9","8.6","-"
"67",7,"Terry McLaurin",WAS,"WR23","54","79","66.5","6.1","-"
"68",7,"Emeka Egbuka",TB,"WR24","46","89","67.7","9.2","-"
"69",7,"Bucky Irving",TB,"RB19","45","78","68.2","8.0","-"
"70",7,"Bryce Young",CAR,"QB24","54","83","68.6","5.9","-"
"71",7,"Jameson Williams",DET,"WR25","60","89","72.6","8.2","-"
"72",7,"Mike Evans",SF,"WR26","53","90","73.1","8.5","-"
"73",8,"Cam Skattebo",NYG,"RB20","54","91","74.6","8.1","-"
"74",8,"TreVeyon Henderson",NE,"RB21","69","94","77.6","6.7","-"
"75",8,"Christian Watson",GB,"WR27","65","100","78.3","8.1","-"
"76",8,"Quinshon Judkins",CLE,"RB22","50","92","79.1","8.1","-"
"77",8,"D'Andre Swift",CHI,"RB23","70","88","79.6","4.4","-"
"78",8,"David Montgomery",HOU,"RB24","68","92","80.6","6.8","-"
"79",8,"Cam Ward",TEN,"QB25","64","84","72.4","6.4","-"
"80",8,"Tucker Kraft",GB,"TE4","49","103","81.4","10.4","-"
"81",8,"DJ Moore",BUF,"WR28","53","122","81.7","13.5","-"
"82",8,"Tyler Warren",IND,"TE5","66","96","82.2","6.7","-"
"83",8,"Rome Odunze",CHI,"WR29","63","103","83.7","10.8","-"
