Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
199,SEA,"Zach Charbonnet",RB,7,12.12,8,0%,62%,46.2,88,62,135.5,1.4
200,NE,"Kayshon Boutte",WR,17,16.08,14,0%,0%,87.7,78,97,190.9,1.2
201,LVR,"Jack Bech",WR,17,21.07,8,0%,23%,82.3,60,94,201,1.1
202,NYG,"Darius Slayton",WR,17,175.11,14,0%,77%,86.6,74,96,192.4,1
203,DEN,"Wil Lutz",K,17,292.03,12,0%,0%,144.9,145,148,171.6,0.7
204,LAC,"Los Angeles Chargers",DEF,17,24.03,12,0%,0%,103.8,70,104,103.8,0.7
205,KC,"Harrison Butker",K,17,276.03,10,0%,0%,144.9,145,148,170.1,0.2
206,NO,"Charlie Smyth",K,17,484.11,11,0%,0%,143.5,,148,170.1,0
207,SF,"San Francisco 49ers",DEF,17,23.03,14,0%,0%,102,67,102,102,0
208,ATL,"Zachariah Branch",WR,17,18.07,5,0%,0%,78.3,52,91,198.4,0
209,BAL,"Rashod Bateman",WR,17,21.01,7,0%,43%,81.1,98,92,193.5,-0.1
210,JAC,"Travis Hunter",WR,17,15.11,8,0%,44%,71,104,77,227.7,-0.3
211,HOU,"Dalton Schultz",TE,17,10.10,6,0%,82%,108.2,101,118,144.7,-0.9
212,MIN,"T.J. Hockenson",TE,17,13.03,6,0%,57%,106.1,113,115,149.9,-1
213,KC,"Kansas City Chiefs",DEF,17,24.04,10,0%,0%,102.7,70,103,102.7,-1.1
214,DAL,"Ryan Flournoy",WR,17,20.06,10,0%,0%,79.2,55,93,181.7,-1.2
215,PIT,"Chris Boswell",K,17,348.01,5,0%,0%,142.9,141,146,170.6,-1.3
216,CHI,"Chicago Bears",DEF,17,25.02,5,0%,0%,102.9,70,103,102.9,-1.8
217,SF,"De'Zhaun Stribling",WR,17,22.04,14,0%,0%,74.8,,84,197.4,-1.8
218,DEN,"Pat Bryant",WR,17,17.03,12,0%,0%,77.8,63,87,187.8,-1.9
219,NE,"Andres Borregales",K,17,434.12,14,0%,0%,141.8,147,146,168.1,-2
220,WAS,"Chigoziem Okonkwo",TE,17,14.05,12,0%,34%,104.9,98,108,156.8,-2.3
221,KC,"Tyquan Thornton",WR,17,66.03,10,0%,35%,73.2,34,85,191.5,-2.3
222,NYG,"Tyrone Tracy Jr.",RB,17,13.10,14,0%,69%,89.4,95,98,225.8,-2.4
223,SEA,"Jason Myers",K,17,326.09,8,0%,0%,142.3,161,145,167,-2.9
224,NO,"Devaughn Vele",WR,17,21.08,11,0%,0%,79.2,58,92,165.9,-3.1
225,DET,"Detroit Lions",DEF,17,24.09,8,0%,0%,102.3,71,102,102.3,-3.2
226,CLE,"Dylan Sampson",RB,17,15.07,9,0%,35%,93.3,80,107,195.2,-3.3
227,PHI,"Dontayvion Wicks",WR,17,27.12,9,0%,64%,72.3,50,82,188.9,-3.3
228,TB,"Chase McLaughlin",K,17,146.10,9,0%,0%,140.2,144,145,167.6,-3.6
229,BUF,"Keon Coleman",WR,17,21.03,7,0%,85%,67.9,75,80,191.8,-3.8
230,TB,"Tampa Bay Buccaneers",DEF,17,23.02,9,0%,0%,97.4,68,97,97.4,-4
231,DEN,"Troy Franklin",WR,17,17.02,12,0%,56%,71.6,66,80,187,-4
232,NYG,"New York Giants",DEF,17,23.08,14,0%,0%,101.3,86,101,101.3,-4.1
233,NO,"Alvin Kamara",RB,17,14.10,11,0%,93%,86,96,96,215,-4.1
234,PHI,"Philadelphia Eagles",DEF,17,23.06,9,0%,0%,101.2,76,101,101.2,-4.2
235,MIN,"Will Reichard",K,17,483.07,6,0%,0%,139.9,141,143,168.5,-4.3
236,PHI,"Jake Elliott",K,17,277.08,9,0%,0%,140.2,136,145,164.7,-4.4
237,SEA,"Tory Horton",WR,17,20.07,8,0%,84%,68.4,69,80,183,-4.7
238,DET,"Isaac TeSlaa",WR,17,18.03,8,0%,0%,69.1,73,79,184.6,-4.7
239,WAS,"Kaytron Allen",RB,17,18.01,12,0%,0%,76.6,52,83,237.4,-4.9
240,BAL,"Ja'Kobi Lane",WR,17,18.02,7,0%,0%,67,61,76,186.6,-5.1
241,ARI,"Kendrick Bourne",WR,17,265.02,8,0%,43%,69.3,35,82,171.3,-5.4
242,CAR,"Chris Brazzell II",WR,17,20.10,14,0%,0%,64.3,56,73,190.1,-5.6
243,HOU,"Nathaniel Dell",WR,17,18.08,6,0%,15%,50.1,53,72,200.4,-5.8
244,BUF,"Tyler Bass",K,17,129.05,7,0%,0%,138.5,141,143,164.2,-5.9
245,WAS,"Jake Moody",K,17,526.01,12,0%,0%,138.3,134,141,167.9,-5.9
246,DAL,"KaVontae Turpin",WR,17,30.04,10,0%,0%,71.4,54,80,168.5,-5.9
247,PIT,"Pat Freiermuth",TE,17,95.11,5,0%,46%,93.5,95,104,149.6,-6
248,TB,"Cade Otton",TE,17,15.04,9,0%,69%,101.3,89,106,140.4,-6.1
249,BAL,"Elijah Sarratt",WR,17,20.09,7,0%,0%,64.6,58,72,186.5,-6.3
250,CLE,"Cleveland Browns",DEF,17,24.12,9,0%,0%,95.4,68,95,95.4,-6.6
251,DEN,"Marvin Mims Jr.",WR,17,19.09,12,0%,45%,70.1,76,78,165.1,-6.8
252,MIA,"Malik Washington",WR,17,486.08,12,0%,0%,70.6,64,75,169.1,-6.9
253,ATL,"Jahan Dotson",WR,17,69.11,5,0%,20%,67.4,40,78,164.5,-7
254,IND,"Indianapolis Colts",DEF,17,24.06,11,0%,0%,93.7,68,94,93.7,-7.2
255,BUF,"Joshua Palmer",WR,17,93.11,7,0%,74%,66.6,70,72,173.8,-7.3
256,SEA,"AJ Barner",TE,17,12.10,8,0%,36%,95.3,82,98,150.3,-7.4
257,ARI,"Tyler Allgeier",RB,17,12.02,8,0%,37%,77.9,79,95,187,-7.4
258,ATL,"Brian Robinson Jr.",RB,17,11.02,5,0%,37%,77.3,81,94,188.6,-7.4
259,LAC,"Keaton Mitchell",RB,17,17.06,12,0%,15%,80.5,63,89,192.3,-7.8
260,CIN,"Andrei Iosivas",WR,17,529.05,10,0%,14%,66.5,68,74,166.3,-7.8
261,TEN,"Tennessee Titans",DEF,17,23.01,10,0%,0%,94.9,62,95,94.9,-7.9
262,NO,"New Orleans Saints",DEF,17,23.09,11,0%,0%,91.6,57,92,91.6,-8.1
263,TEN,"Gunnar Helm",TE,17,15.08,10,0%,0%,93.6,76,100,143.5,-8.3
264,NYG,"Jason Sanders",K,17,232.02,14,0%,0%,136.6,131,139,164.5,-8.4
265,DAL,"Dallas Cowboys",DEF,17,24.11,10,0%,0%,93.1,68,93,93.1,-8.6
266,MIA,"Chris Bell",WR,15,20.12,12,0%,0%,51.9,88,61,192.2,-8.7
267,ATL,"Olamide Zaccheaus",WR,17,168.04,5,0%,19%,63,48,73,158.1,-9
268,SF,"Christian Kirk",WR,17,21.10,14,0%,94%,60.9,76,69,166.2,-9.1
269,CAR,"Ryan Fitzgerald",K,17,418.05,14,0%,0%,133.8,,139,161.7,-9.7
270,CIN,"Evan McPherson",K,17,86.12,10,0%,0%,135,149,136,166.4,-9.9
271,ARI,"Arizona Cardinals",DEF,17,25.07,8,0%,0%,93.1,64,93,93.1,-10.3
272,UNS,"David Njoku",TE,17,13.08,18,-,86%,82.4,76,94,147.1,-10.8
273,UNS,"DeAndre Hopkins",WR,17,357.08,18,-,28%,54.4,49,68,156.4,-10.9
274,CAR,"Carolina Panthers",DEF,17,25.03,14,0%,0%,91.1,73,91,91.1,-11.2
275,MIA,"Caleb Douglas",WR,17,395.08,12,0%,0%,54.8,,61,167.4,-11.2
276,MIA,"Miami Dolphins",DEF,17,23.12,12,0%,0%,90.8,59,91,90.8,-11.4
277,NE,"Kyle Williams",WR,17,20.01,14,0%,5%,55.4,54,61,164.3,-11.5
278,DEN,"Jonah Coleman",RB,17,14.08,12,0%,0%,61.3,40,70,202.1,-11.7
279,UNS,"JuJu Smith-Schuster",WR,17,283.06,18,-,94%,54.1,26,68,148.9,-11.7
280,TB,"Ted Hurst",WR,17,20.02,9,0%,0%,50.9,44,60,167.6,-11.7
281,ATL,"Nick Folk",K,17,155.01,5,0%,0%,133.3,141,136,161.8,-11.8
282,CIN,"Cincinnati Bengals",DEF,17,25.01,10,0%,0%,88.1,64,88,88.1,-12
283,NE,"Mack Hollins",WR,17,278.06,14,0%,6%,56.6,51,63,154.1,-12.1
284,LVR,"Las Vegas Raiders",DEF,17,24.01,8,0%,0%,90.8,60,91,90.8,-12.3
285,IND,"Nick Westbrook-Ikhine",WR,17,101.06,11,0%,0%,54.5,49,62,154.7,-12.3
286,WAS,"Jaylin Lane",WR,17,437.04,12,0%,0%,50.2,22,56,170,-12.3
