Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
507,CIN,"Charlie Jones",WR,17,65.08,10,0%,0%,15.8,4,17,90,-68.5
508,TB,"Devin Culp",TE,17,53.12,9,0%,0%,19.1,8,21,95.6,-68.6
509,NO,"Mason Tipton",WR,17,70.08,11,0%,0%,15.5,13,17,85.9,-69
510,DAL,"Brevyn Spann-Ford",TE,17,48.09,10,0%,0%,18.9,18,20,95.5,-69.2
511,PHI,"Quez Watkins",WR,17,41.04,9,0%,6%,14.3,23,17,84.2,-69.5
512,SEA,"Emmanuel Henderson Jr.",WR,17,,8,0%,0%,13.9,,16,81.6,-70
513,PHI,"Johnny Wilson",WR,17,74.04,9,0%,5%,15,,19,74.8,-70.2
514,NO,"Kevin Austin Jr.",WR,17,59.06,11,0%,0%,16.5,31,18,71.6,-70.6
515,ARI,"Tip Reiman",TE,17,73.10,8,0%,0%,16.3,14,18,90.8,-70.6
516,KC,"Jared Wiley",TE,17,59.10,10,0%,0%,18.2,9,19,86.4,-70.8
517,PHI,"Darius Cooper",WR,17,,9,0%,0%,16.5,,17,69.4,-71.2
518,IND,"Will Mallory",TE,17,75.10,11,0%,0%,16.1,9,18,87.5,-71.3
519,CIN,"Jack Endries",TE,17,31.06,10,0%,0%,18.6,32,22,76.8,-71.4
520,ARI,"Harrison Wallace III",WR,17,,8,0%,0%,12.4,,14,75.7,-71.6
521,MIA,"Tahj Washington",WR,17,71.10,12,0%,0%,12.2,,14,74.8,-71.9
522,DAL,"Michael Trigg",TE,17,27.05,10,0%,0%,17,34,21,74.2,-72.2
523,DAL,"Jordan Hudson",WR,17,,10,0%,0%,12.9,,14,70,-72.2
524,TB,"Eric Rivers",WR,17,,9,0%,0%,12.2,,14,70.7,-72.4
525,DAL,"Anthony Smith",WR,17,,10,0%,0%,12.3,,14,67.9,-72.5
526,IND,"Anthony Gould",WR,17,62.07,11,0%,0%,11.6,5,13,71.1,-72.6
527,PHI,"Johnny Mundt",TE,17,54.02,9,0%,0%,17.9,12,21,67.5,-73.2
528,HOU,"Lewis Bond",WR,17,,6,0%,0%,12.1,,13,64.5,-73.3
529,NYG,"Thomas Fidone II",TE,17,69.11,14,0%,0%,11.2,10,12,86.9,-73.6
530,TB,"Bauer Sharp",TE,17,,9,0%,0%,14.8,,17,75,-73.7
531,ATL,"Charlie Woerner",TE,17,57.12,5,0%,0%,16.1,16,18,71.4,-73.8
532,JAC,"CJ Williams",WR,17,,8,0%,0%,11.6,,14,61.2,-73.8
533,GB,"J. Michael Sturdivant",WR,17,,5,0%,0%,11.6,,13,60.8,-74.1
534,KC,"Jake Briningstool",TE,17,,10,0%,0%,10.9,,12,84.5,-74.1
535,PHI,"Grant Calcaterra",TE,17,53.01,9,0%,0%,19.9,19,23,56.5,-74.2
536,TB,"Payne Durham",TE,17,51.10,9,0%,0%,14,13,14,63.6,-76.2
537,MIA,"Seydou Traore",TE,17,,12,0%,0%,11.4,,13,67.2,-76.4
538,DEN,"Dallen Bentley",TE,17,,12,0%,0%,12.3,,14,62.1,-76.6
539,NYJ,"Jeremy Ruckert",TE,17,47.09,9,0%,0%,15.3,16,16,56.5,-76.8
540,CLE,"Aaron Anderson",WR,17,,9,0%,0%,7.5,,8,46.1,-77.7
